No,Provinsi,Akuntansi,Kelas,Kelas,PB Prov,PB,Administrasi Profesional/OTKP,Kelas,Kelas,PB Prov,PB,Bisnis Daring Pemasaran,Kelas,Kelas,PB Prov,PB,Pekerjaan Sosial,Kelas,Kelas,PB Prov,PB,Caregiver,Kelas,Kelas,PB Prov,PB,Perhotelan,Kelas,Kelas,PB Prov,PB,Usaha Perjalanan Wisata,Kelas,Kelas,PB Prov,PB,Tata Boga,Kelas,Kelas,PB Prov,PB,Tata Busana,Kelas,Kelas,PB Prov,PB,Kecantikan,Kelas,Kelas,PB Prov,PB,JUMLAH,,
1,Aceh,21,5.6,2,Riau,SMKN 1 Pekanbaru,12,3.6,1,Riau,SMKN 1 Pekanbaru,11,2.1,1,Riau,SMKN 1 Pekanbaru,4,3.35,1,Jawa Tengah,SMKN 7 Surakarta,0,2.6,1,Jawa Tengah,SMK 7 Surakarta,5,1.7,1,Sumatera Utara,SMKN 8 Medan,3,4.85,4,DKI Jakarta,SMKN 27 Jakarta,8,1.7,1,Sumatera Utara,SMKN 8 Medan,18,2.75,1,Aceh,SMKN 3 Banda Aceh,7,3,2,Jawa Tengah,SMKN 3 Magelang,,,
2,Sumatera Utara,47,,,,,45,,,,,23,,,,,6,,,,,2,,,,,24,,,,,6,,,,,19,,,,,21,,,,,11,,,,,,,
3,Riau,44,,,,,15,,,,,8,,,,,0,,,,,2,,,,,5,,,,,6,,,,,7,,,,,16,,1,Sumatera Utara,SMKN 10 Medan,0,,,,,,,
4,Sumatera Barat,27,1.9,1,Sumatera Barat,SMKN 3 Padang,23,1.4,1,Sumatera Barat,SMKN 3 Padang,11,2.85,2,Lampung,SMKN 4 Bandar Lampung,3,,,,,0,,,,,25,2.5,2,Sumatera Barat,SMKN 9 Padang,8,,,,,29,2.2,2,Sumatera Barat,SMKN 6 Padang,13,1.8,1,Sumatera Barat,SMKN 6 Padang,4,,,,,,,
5,Jambi,11,,,,,5,,,,,12,,,,,0,,,,,2,,,,,11,,,,,1,,,,,6,,,,,19,,,,,1,,,,,,,
6,Bengkulu,3,4.05,1,Lampung,SMKN 4 Bandar Lampung,11,1.8,1,Lampung,SMKN 4 Bandar Lampung,0,,,,,1,,,,,1,,,,,8,,,,,6,,,,,3,,,,,3,,,,,1,,,,,,,
7,Lampung,27,,,,,7,,,,,13,,,,,3,,,,,1,,,,,6,,,,,4,,,,,6,,,,,1,,,,,3,,,,,,,
8,Sumatera Selatan,51,,,,,18,,,,,21,,,,,1,,,,,2,,,,,14,1.45,1,Sumatera Selatan,SMKN 6 Palembang,6,,,,SMKN 57 Jakarta,12,1.25,1,Sumatera Selatan,SMKN 6 Palembang,8,1.7,1,Kep. Bangka Belitung,SMKN 3 Pangkal Pinang,1,,,,,,,
9,Kepulauan Bangka Belitung,4,4.7,1,Banten,SMKN 1 Serang,4,3.55,2,Banten,SMKN 1 Serang,5,2.1,1,Banten,SMKN 1 Serang,2,,,,,0,,,,,5,,,,,5,,,,,4,,,,,6,,,,,2,,,,,,,
10,Kepulauan Riau,21,,,,,7,,,,,11,,,,,1,,,,,0,,,,,10,,,,,7,,,,,9,,,,,5,,,,,2,,,,,,,
11,Banten,69,,,,,60,,,,,26,,,,,0,,,,,0,,,,,13,1.55,1,DKI Jakarta,SMKN 57 Jakarta,3,,,,,9,1.95,1,DKI Jakarta,SMKN 27 Jakarta,5,,,,,1,,,,,,,
12,D.K.I. Jakarta,70,11.25,3,Jawa Barat,SMKN 1 Bandung/SMKN 3 Bandung,61,8.25,4,Jawa Barat,SMKN 1 Bandung,41,5.6,5,Jawa Barat,SMKN 1 Bandung/SMKN 3 Bandung/SMKN 1 Kedawung Cirebon,0,,,,,2,,,,,18,,,,,12,,,,,30,,,,,10,,,,,1,,,,,,,
13,Jawa Barat,155,,,,,104,,,,SMKN 3 Bandung,71,,,,,3,,,,,4,,,,,46,2.3,2,Jawa Barat,SMKN 9 Bandung,18,,,,,77,3.85,3,Jawa Barat,SMKN 9 Bandung,25,6.8,3,Jawa Tengah,SMKN 6 Semarang,5,,,,,,,
14,Jawa Tengah,128,6.95,2,Jawa Tengah,SMKN 2 Semarang,73,4,3,Jawa Tengah,SMKN 2 Semarang,70,3.85,3,Jawa Tengah,SMKN 2 Semarang,8,,,,,3,,,,,28,1.8,1,Jawa Tengah,SMKN 4 Surakarta,11,,,,,59,3.65,3,Jawa Tengah,SMKN 4 Surakarta,92,,,,,14,,,,,,,
15,D.I. Yogyakarta,11,,,,SMKN 6 Surakarta,7,,,,SMKN 6 Surakarta,7,,,,SMKN 6 Surakarta,4,,,,,0,,,,,8,,,,,1,,,,,14,,,DI Yogyakarta,SMKN 4 Yogyakarta,19,,,DI Yogyakarta,SMKN 6 Yogyakarta,7,,,,,,,
16,Kalimantan Barat,20,11.7,2,Jawa Timur,SMKN 6 Surabaya,8,5.7,4,Jawa Timur,SMKN 10 Surabaya,6,5,4,Jawa Timur,SMKN 10 Surabaya,0,,,,,2,,,,,8,3.3,3,Jawa Timur,SMKN 8 Surabaya,5,1.65,1,Jawa Timur,SMKN 10 Surabaya,2,5.45,5,Jawa Timur,SMKN 6 Surabaya,3,5.3,4,Jawa Timur,SMKN 6 Surabaya,0,,,,,,,
17,Kalimantan Selatan,14,,,,,9,,,,,11,,,,,0,,,,,2,,,,,6,,,,,5,,,,,14,,,,,13,,,,,0,2.5,2,Jawa Timur,SMKN 8 Surabaya,,,
18,Kalimantan Tengah,7,,,,,15,,,,,1,,,,,1,,,,,0,,,,,2,,,,,1,,,,,3,,,,,3,,,,,1,,,,,,,
19,Kalimantan Timur,26,,,,SMKN 10 Surabaya,22,,,,,12,,,,,0,,,,,2,,,,,2,,,,SMKN 3 Malang,4,,,,,11,,,,SMKN 3 Malang,2,,,,,1,,,,,,,
20,Kalimantan Utara,3,,,,,2,,,,,1,,,,,0,,,,,1,,,,,0,,,,,5,,,,,2,,,,,2,,,,SMKN 3 Malang,0,,,,,,,
21,Jawa Timur,145,,,,,58,,,,,65,,,,,14,,,,,14,,,,,48,,,,,11,,,,,77,,,,,60,,,,,23,,,,,,,
22,Bali,19,,,,,0,,,,,4,,,,,5,,,,,1,,,,,80,4,3,Bali,SMKN 3 Denpasar/SMKN 5 Denpasar,2,,,,,82,5.1,5,Bali,SMKN 3 Denpasar,3,,,,,7,,,,,,,
23,Nusa Tenggara Barat,7,2.1,1,Nusa Tenggara Timur,SMKN 1 Kupang,8,1.65,1,Nusa Tenggara Timur,SMKN 1 Kupang,14,1.55,1,Nusa Tenggara Barat,SMKN 2 Mataram,4,,,,,0,,,,,30,2.55,2,Nusa Tenggara Barat,SMKN 4 Mataram,16,2,2,Nusa Tenggara Barat,SMKN 1 Praya,18,,,,SMKN 5 Denpasar,15,,,,,6,,,,,,,
24,Nusa Tenggara Timur,35,,,,,25,,,,,17,,,,,0,,,,,1,,,,,21,,,,,24,,,,,2,,,,,5,,,,,2,,,,,,,
25,Maluku,11,4.15,2,Sulawesi Selatan,SMKN 4 Makassar,6,4.35,3,Sulawesi Selatan,SMKN 4 Makassar,5,2.55,2,Sulawesi Selatan,SMKN 4 Makassar,0,,,,,6,,,,,2,1.5,1,Sulawesi Selatan,SMKN 8 Makassar,4,2.5,2,Sulawesi Selatan,SMKN 4 Makassar,3,1.4,1,Sulawesi Selatan,SMKN 6 Makassar,2,3.05,1,Sulawesi Selatan,SMKN 6 Makassar,0,,,,,,,
26,Maluku Utara,5,,,,,1,,,,,1,,,,,0,,,,,0,,,,,0,,,,,2,,,,,0,,,,,1,,,,,1,,,,,,,
27,Papua,7,,,,,7,,,,,2,,,,,0,,,,,0,,,,,3,,,,,1,,,,,1,,,,,2,,,,,0,,,,,,,
28,Papua Barat,5,,,,,8,,,,,2,,,,,0,,,,,0,,,,,2,,,,,2,,,,,3,,,,,1,,,,,0,,,,,,,
29,Sulawesi Barat,2,,,,SMKN 6 Makassar,10,,,,,2,,,,,0,,,,,0,,,,,3,,,,,0,,,,,1,,,,,12,,,,,0,,,,,,,
30,Sulawesi Selatan,42,,,,,35,,,,SMKN 8 Makassar,14,,,,,2,,,,,1,,,,,13,,,,,17,,,,SMKN 8 Makassar,8,,,,,17,,,,,2,,,,,,,
31,Sulawesi Tenggara,11,,,,,4,,,,,6,,,,,3,,,,,0,,,,,7,,,,,0,,,,,3,,,,,16,,,,,5,,,,,,,
32,Sulawesi Tengah,9,1.4,1,Sulawesi Utara,SMKN 1 Manado,8,,,,,7,,,,,2,,,,,1,,,,,18,2.05,1,Sulawesi Utara,SMKN 3 Manado,9,,,,,5,,,,,2,,,,,2,,,,,,,
33,Gorontalo,7,,,,,3,,,,,5,,,,,0,,,,,0,,,,,3,,,,,8,,,,,0,,,,,2,,,,,0,,,,,,,
34,Sulawesi Utara,12,,,,,5,,,,,7,,,,,0,,,,,2,,,,,20,,,,,7,,,,,4,,,,,6,,,,,0,,,,,,,
JUMLAH,,1076,53.8,16,,,686,34.3,20,,,512,25.6,19,,,67,3.35,1,,,52,2.6,1,,,494,24.7,18,,,220,11,9,,,531,26.55,22,,,428,21.4,12,,,110,5.5,4,,,,122,2440
